Title;Ingredients;Steps;Loves;URL
.sate kambing;Bahan-bahan : - 500 gr Daging kambing - Daun pepaya - Bumbu yang dihaluskan : - 4 siung bamer - 4 siung baput - 2 cm jahe - 1 sdt ketumbar - 1/2 sdt lada bubuk - 1/2 sdt Garam - 1 sdm air asam jawa - Bahan sambel kecap : - Kecap manis sesuai selera (aku pake bango) - Cabe rawit - Bamer - Tomat - Jeruk limau - ;"1. Cuci bersih daging kambing, potong"" kotak, bungkus didalam lapisan daun pepaya (30menit) - 2.setelah 30 menit, keluarkan daging dr daun pepaya, campurkan dengan bumbu yang sudah dihaluskan, diamkan 15 menit - 3. Susun daging pada tusuk sate kurlen 4-5 potong per tusuk - 4. Bakar (bisa pakai arang / teflon) - 5. Bolak balik sate hingga benar"" matang - 6. Sajikan dengan sambal kecap - ";6;/id/resep/4470066-sate-kambing
rabeg kambing;1 kg daging kambing bagian paha beserta tulang - Bumbu halus - 100 gr cabe - 7 siung bawang putih - 8 siung bawang mersh - 7 butir kemiri - 2 cm jahe - 1 ruas kunyit - 1/2 sdt klabet - 1/2 sdt jinten - Bumbu lain - 1 batang sereh - 3 lembar daun salam - 2 cm kayu manis - 5 butir cengjeh - 3 kapulaga hijau - 5 sdm kecap manis - Garam - Gula - Pelengkap - Acar - Bawang goreng - ;Tumis bumbu halus hingga harum. Masukan bumbu bumbu lain kecuali kecap. - Masukan daging kambing. Aduk sampai daging terbalut bumbu dan berubah warna - Pindahkan tumisan daging ke panci. Tambahkan air. Beri kecap gulz dan garam. Masak sampai daging empuk dan air tinggal sedikit - Sajikan dengan nasi dan pelebgkap - ;6;/id/resep/4469170-rabeg-kambing
gulai kambing;500 gram daging kambing - Bumbu : - sesuai selera Santan - 2 btng serai,memarkan - 5 lembar Daun Salam,jeruk - sesuai selera Cabe - 2 btr Cengkeh - Bumbu halus: - 5 siung bawng merah - 4 siung bwng putih - 5 butir kemiri - 2 cm kunyit - 2 cm jahe - 2 cm lengkuas - 1 sdt ketumbar - Mrica,pala,garam,gula seckpnya - ;Rebus dgng kambing dgn jahe krng lbh 20 menit lalu buang airnya,cc bersih - Tumis bumbu yg sudah dihaluskn,,masukn semua bahan Dan bumbu - Rebus sampe empuk - Terakhir masukn santan,tes rasa,,, - Sajikan dimangkok,yumm ✌️ - ;0;/id/resep/4467084-gulai-kambing
sayur tulang kambing;1.5 kg tulang sumsum kambing(direbus dahulu)agar bau amis hilang - Kacang panjang - Pepaya muda - 10 buah Cabe rawit - 2 buah Cabe merah besar - 2 buah Cabe hijau besar - 5 bawang putih - 5 bawang merah - 2 miri - Garam - 1 bungkus masako - 1/2 sendok makan Gula putih - Minyak goreng - Irisan potongan bawang merah 5 siung - Irisan potongan bawang putih 5 siung - Santan kelapa - ;Haluskan bawang merah 5 siung dan 5 bawang putih beserta cabe rawit dan miri. - Panaskan kompor ksh sedikit minyak goreng, masukkan irisan cabe besar merah, hijau serta bawang putih dan merah sampai setengah matang - Lalu masukkan cabe,miri,bawang merah dan bwang putih yg telah di haluskan,tumis sampai matang - Masukkan sedikit air pada tumisan tadi...lalu masukkan sayuran beserta tulang sumsum kambing yg sudah di rebus tadi - Terakhir masukkan santan, garam, 1bungkus masako, gula putih..tunggu sampai mendidih aduh terus agar santannya tidak pecah. - Matikan kompor...sayur tulang kambing siap di hidangkan - ;1;/id/resep/4458778-sayur-tulang-kambing
sate kambing;300 garam daging kambing - 1/2 buah jeruk nipis - secukupnya kecap manis - bumbu kacang: - 100 gram kacang tanah goreng - 3 siung bawang merah - 2 siung bawang putih - 1 buah cabe merah besar - 5 buah cabe rawit merah (sesuai selera) - 2 butir kemiri - 4 lembar daun jeruk - 200 ml air - 2 sdm kecap manis - 2 sdm gula merah iris - secukupnya garam - bahan tambahan : - acar wortel timun bawang cabe rawit - bawang goreng - ;Potong daging kambing sesuai selera, beri perasan jeruk nipis, diamkan 10 menit, kemudian cuci bersih.. setelah itu tusukan daging pda tusuk sate - Buat bumbu kacang: 1. blender kacang tanah dengan air sampai halus. 2.haluskan bumbu (bawang cabe kemiri) tumis bumbu halus sampai harum. beri garam gula merah dan kecap.. aduk rata.. kemudian beri cairan kacang tanah.. aduk rata, koreksi rasa.. aduk terus agar tidak menggumpal... kekentalan saus kacang sesuai selera.. kemudian angkat. - Taruh dalam piring, saus kacang 3sdm dan kecap manis 3 sdm, aduk rata... baluri sate dengan bumbu ini sampai rata... kemudian bakar sampai matang... - Setelah matang sate disajikan demgan saus kacang, acar, bawang goreng, dan nasi/lontong.. nikmat satenya besar-besar.... 😁 - ;7;/id/resep/4462884-sate-kambing
sop kaki kambing;4 kaki kambing - 2-3 buah kentang, potpng dadu besar - 3-4 batang daun bawang, iris 2 cm - 2-3 L air panas - 2-3 sdm minyak utk menumis - Bumbu halus: - 4 buah bawang merah - 8 buah bawang putih - 1 sdm garam - 1 sdt lada bubuk - 1/2 sdt pala bubuk - Bumbu lainnya: - 5 buah cengkeh - 4 buah kapulaga india - 1 batang kayu manis - 2 buah star anise - 4 lembar salam koja (bay leaves) - ;Bakar kaki kambing utk menghilangkan bulu2 halus dan baunya. Kerok sesekali lalu celupkan ke air panas mendidih. Lakukan hingga kaki benar2 bersih. Lalu potong2 sesuai selera. - Panaskan minyak, tumis bumbu halus hingga harum. Masukan air panas dan bumbu lainnya. Masak hingga mendidih. - Masukan kentang dan kaki kambing. Masak hingga kentang matang dan kaki kambing empuk. - Masukan sisa bahan. Masak 3-4 menit lalu matikan api. Sajikan hangat. - ;9;/id/resep/4447258-sop-kaki-kambing
kari kambing ala bundo;Daging kambing ½ kg, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan 15 menit - 10 siung bawang merah, iris halus - 1 buah tomat, potong tipis - 6 butir cengkeh - 3 buah peka - 5 buah kapulaga - 9 siung bawang putih, iris halus - 500 ml santan dari 1 butir kelapa (1,5 bungkus segitiga santan kemasan) - 150 ml susu cair - 500 ml air - 3 ruas jari kayu manis - 2 lembar daun jeruk purut buang tulangnya - 10 lembar daun kari - 1 sdt Garam dan gula sedikit hanya untuk menambah rasa - secukupnya Minyak goreng - Bumbu halus: - 1/2 sendok teh jinten, sangrai - 1 sendok teh adas, sangrai - 10 siung bawang merah - 15 buah cabai merah - 10 buah cabai rawit merah - 6 siung bawang putih - 1 sendok makan ketumbar, sangrai - 2,5 cm/ 1 ruas jari jahe - 5 cm/ 2 ruas jari kunyit (diameter kecil) - 2,5 cm/ 1 ruas jari lengkuas - ;Tumis hingga harum bawang merah iris, bawang putih, kayu manis, cengkeh, peka, kapulaga kemudian masukkan bumbu halus, masukkan daun jeruk dan daun kari, - Masukkan daging kambing dan buah tomat, masak hingga daging kambing berubah warna dan keluar airnya - Tambahkan air, masak hingga setengah matang - Masukkan santan dan susu cair, masak hingga matang atau empuk. - Daging kari kambing siap dihidangkan bersama acar, roti pratha dan es thai tea. - ;1;/id/resep/4376163-kari-kambing-ala-bundo
tongseng kambing presto;250 gram iga kambing / daging kambing - 200 gram kol - bumbu halus : - 4 siung bawang merah - 4 siung bawang putih - 1 ruas kunyit bakar - 3 buah kemiri sangrai - 1 sdt ketumbar sangrai - 1/2 sdt jinten - 2 buah cabe merah besar - 1 ruas jahe - bumbu tambahan: - 4 lembar daun jeruk - 2 batang sereh - 1 ruas lengkuas - 2 batang daun bawang - 2 buah tomat - 5 buah cabe rawit merah - 2 sdm santan kara - secukupnya gula garam - ;Potong daging kambing sesuai selera, cuci bersih kemudian masukan ke panci presto. - Masukan bumbu halus yg sudah ditumis, tambahkan air, sampai daging kambing terendam semua... tambahkan daun jeruk, sereh, lengkuas, masak sesuai petunjuk panci presto.. (me: 20 menit dari keluar uap pertama) - Sambil menunggu, rajang halus daun bawang, belah 4 tomat, potong kasar kol, cairkan santan dengan 300ml air. - Setelah 20 menit, matikan kompor, tunggu sampai uap habis. - Buka tutup panci, beri santan, kol, daun bawang, dan tomat, cabe rawit sesuai selera, aduk rata.. beri gula garam.. koreksi rasa.. masak sampai mendidih.. angkat dan sajikan.. - Beri taburan bawang goreng.. makan dengan nasi hangat... 😋😋 - ;9;/id/resep/4442026-tongseng-kambing-presto
telor dadar otak kambing;Otak kambing - 2 butir telor ayam - Penyedap masako - 3 siung Bawang merah - 1 siung Bawang putih - Daun bawang secukupnnya - Cabe rawit 3 biji adanya - Garam - 1 lembar Daun salam - Jahe kunyit seujung jari kelingking dikit aja - Minyak untuk numis - ;Cuci otak. Kambing smpe bersih cuci semua bumbu - Geprek jahe kunyit dan campurkan ke otak kambing jgn lupa daun salam lalu kukus sekitar 15 menit kurg lbh - Bawang merah putih cabe daun bawang di iris ya ke mangkok lain campur semua bahan kecuali salam buang aja krna itu bekas kukusan aduk bersama telor otak kambing - Lalu goreng smpe. Kekuningan ya - Angkat tiriskan siap di santap pake nasi anget sedapp selamat mencoba - ;1;/id/resep/4435937-telor-dadar-otak-kambing
sate kambing siram sambal bawang kecap;Bumbu daging - 1 kg daging kambing - 1,5 sdt ketumbar - 1 bungkus royko - 1 sdt gula - 1,5 sdt bawang putih bubuk(3 siung bawang putih) - 2 sdm minyak goreng - secukupnya Garam - secukupnya Kecap - Untuk kuah - 3 siung bawang merah - 6 buah cabe rawit - secukupnya Kecap - ;Potong2 daging lalu masukkan bumbu daging...diamkan selama 1/2 jam - Tusuk2 sate - Lalu di bakar - Untuk kuah tinggal di potong2 saja bawang merah dan cabe rawit siramkan kecap sesui selera lalu di tekan2 degn sendok - ;1;/id/resep/4415488-sate-kambing-siram-sambal-bawang-kecap
