Title;Ingredients;Steps;Loves;URL
beef teriyaki;250 gr daging sapi - 1 siung bawang bombai - 5 siung bawang putih - 1 sachet saus teriyaki (sy pk yg saor*, bsa diganti saus tiram) - 1 sdm kecap manis - secukupnya garam - secukupnya lada - secukupnya gula - secukupnya penyedap rasa - ;Potong kecil-kecil memanjang daging sapi, lalu cuci bersih - Tambahkan garam dan lada diamkan selama kurleb 15 menit - Iris bawang bombai dan bawang putih - Tumis bawang bombai dan bawang putih, setelah harum masukkan daging - Tumis daging sebentar lalu tambahkan saus teriyaki, kecap manis, garam, lada, gula dan penyedap rasa, beri air sedikit - Tutup wajannya agar panasnya merata - Tunggu sampai daging matang, lalu garnish sesuai selera - Beef teriyaki siap untuk disantap - ;0;/id/resep/4473529-beef-teriyaki
rendang sapi;1 kg daging sapi - 4 butir kelapa untuk 2L santan kental - Bumbu dihaluskan : - 200 gram Cabe merah - 1/2 cm Jahe - 2 sdm ketumbar sangrai - 10 butir kapulaga - 10 butir cengkeh - 2 butir bunga lawang - 1 buah biji pala - 13 butir bawang merah - 7 butir bawang putih - 25 buah cabe rawit (jika suka pedas) - 3 cm lengkuas dipipihkan - 2 buah serai dipipihkan - 3 lembar daun jeruk - 3 lembar daun salam - 2 lembar daun kunyit - 1/2 sdm garam (tambahkan jika kurang asin) - 1 sdt kaldu bubuk (optional) - ;Potong daging berlawanan dari seratnya - Peras santan dari 4 butir kelapa tua menjadi 2 liter - Haluskan bumbu - Tuang santan dan bumbu ke dalam wajan anti lengket, masak hingga mendidih - Kemudian masukkan daging, garam dan kaldu. Masak dengan api kecil sambil sesekali di aduk agar tidak gosong - Sampai tahap ini dinamakan kalio, teruskan memasak hingga daging mulai mengering dan kehitaman - Rendang siap dinikmati - ;1;/id/resep/4473035-rendang-sapi
tongseng daging sapi pedas;300 gr daging sapi (iris tipis panjang) - Bumbu halus : - 7 siung bawang merah - 4 siung bawang putih - 2 cm jahe - 1,5 cm kunyit - 3 bh kemiri - 5 cabe merah keriting - Bumbu pelengkap : - 2 batang sereh - 2 daun salam - 2 daun jeruk - 5 bh cabe rawit merah utuh - Toping - 1 bh tomat besar (iris sedang) - Kol secukupnya menurut selera (iris sedang) - ;Tumis bumbu halus dengan sedikit minyak, tumis sampai matang dan mengental. Lalu masukkan daging sapi yang telah dipotong2 tadi. Lalu masukkan bumbu pelengkap. Tumis daging dengan bumbu sampai daging sapi berubah warna dan agak mengeluarkan minyak. - Masukkan air secukupnya sekitar 1,5 liter biarkan mendidih sebentar lalu kecilkan api dan tutup panci. Tunggu sampai daging empuk.. - Setelah daging empuk masukkan kol dan tomat, masak sebentar saja agar tekstur kol agak crunchy.. angkat lalu sajikan - ;3;/id/resep/4472871-tongseng-daging-sapi-pedas
semur daging sapi;1/2 kg daging sapi - 1 biji bawang bombay - 2 siung bawang putih 5 - 5 siung bawang merah - 1 bungkus ladaku - 1 bungkus royco sapi - 3 lembar daun jeruk - 1 bunga lawang - 2 biji jeruk nipis - Secukupnya kecap manis, gula pasir - Air - ;Potong2 daging sesuai selera, cuci dan lumuri dengan air jeruk, aduk2 dan cuci lagi - Rebus daging sampe setengah mateng - Sambil nungu daging direbus, bawang putih digeprek dan diiris2, bawang merah jg bawang bombay - Tumis bawang yg sudah diiris masukkan daging, daun jeruk, ladaku, bunga lawang dan pala, aduk2 - Tambahkan air sampe daging terendam, masukkan royco, kecap dan gula pasir (kalo sy ditambahin lg garam sedikit) - Aduk2 dan koreksi rasa, biarka sampe airnya berkurang dikit (tapi jangan sampe habis airnya) - Hidangkan dengan kerupuk udang, hhmmmm ennaakkk - ;0;/id/resep/4472987-semur-daging-sapi
tongseng daging sapi;500 gram Daging sapi - Santan (boleh pakai kara 1 bungkus/ kelapa parut 1/2 buah) - Bawang merah 12 siung (6 siung untuk bawang goreng) - 8-10 siung Bawang putih - 1/4 Kubis - 2 buah Tomat - 5 pcs Daun bawang - 6 cm Kunyit - 5 cm Jahe - 6 cm Lengkuas - 3 lembar Daun salam - 3 lembar Daun jeruk - 5 pcs Kemiri - 1 sdt Ketumbar - 1 sdm Kecap - 2 pcs Cabai merah - 10 pcs Cabai rawit - secukupnya Garam - secukupnya Penyedap rasa - 1 bungkus Merica bubuk ladaku - ;Cuci daging sapi dan potong kecil-kecil sesuai selera. - Masukkan daging sapi dalam air mendidih dan masak hingga empuk. - Lembutkan baput,bamer,kunyit,kemiri,ketumbar,dan cabai merah. - Tumis bumbu yang sudah dilembutkan tadi dan daun salam, daun jeruk, lengkuas,jahe, cabai rawit utuh,ladaku. Tumis hingga baunya harum. - Potong memanjang tomatnya, kubis dan daun bawang potong sesuai selera. - Masukkan bumbu tersebut yang sudah ditumis tadi kedalam rebusan daging yang sudah empuk. Lalu masukkan kubis,daun bawang dan tomat serta santan. - Masukkan juga garam,kecap dan penyedap rasa. - Cek rasa. Kalau sudah mendidih dan rasa sudah pas, TONGSENG DAGING SAPI SIAP DISAJIKAN. Taburi bawang goreng saat penyajiannya - ;2;/id/resep/4472530-tongseng-daging-sapi
beef black pepper spaghetti;220 gram spaghetti la fonte, rebus sampai al dente - 1 ons daging sapi, iris lawan arah - Bahan perendam daging: - secukupnya Saus tiram - secukupnya Kecap asin - secukupnya Soda kue - Bumbu black pepper instant (merk my taste) - 1 siung baput besar cicang kasar - 1/2 babom potong kotak - 2 helai Daun bawang potong 2cm - secukupnya Kecap asin - ;Setelah spaghetti al dente beri sedikit minyak supaya tdk menempel - Daging yg sudah di marinated digoreng 3/4 mateng dgn sedikit minyak. Sisihkan - Tumis babom dan baput sampai harum layu. Masukkan bumbu black pepper instant lalu masukkan spaghetti dan daging sapi. Aduk rata. Beri sedikit kecap asin. Dan daun bawang. Aduk rata. Koreksi rasa bila perlu. - Sajikan dengan cinta - ;5;/id/resep/4471729-beef-black-pepper-spaghetti
[notitle];nan;nan;0;/id/resep/4471696-brokoli-sapi-cah-paprika
carbonara linguine smooked beef;Pasta linguine (bisa pasta lain) sesuai selera +/- 200gr - 3 strip smooked beef potong kecil-kecil - Keju parmesan atau sering saya ganti cheddar - 1/4 bagian awang bombay kecil - 1 siung kecil awang putih (selera) - Susu full cream / cooking cream - 1 butir telur - Lada, garam - Daun basil - 2 sdm margarin - ;Rebus pasta dengan sedikit garam lalu sisihkan - Parut keju cheddar banyaknya sesuai selera lalu sisihkan - Potong kasar dan agak besar bawang bombay. Potong halus bawang putih. - Panaskan 2 sdm margarin lalu tumis bawang bombay dan bawang putih sebentar jangn sampai berwarna coklat. - Masukan smooked beef yang sudah di slice lalu tumis sampai agak matang. - Saya lebih senang menggunakan susu tapi bisa juga dengan cooking cream jika ingin tekstur berat dan kental, versi saya akan gunakan susu full cream +/- 200 ml - Masukkan 3/4 keju pada susu yang mulai mendidih. Sisakan 1/4 dari yang sudah di parut untuk taburan. Aduk rata - Masukkan pasta, lalu tambahkan seasoning lada dan garam sesuai selera. Aduk rata sampai agak kental, terakhir kecilkan api lalu masukkan 1 butir telur ke atas masakan dan aduk cepat sampai merata jangan sampai putih telur matang duluan. Telur akan membuat tekstur saus carbonara semakin kental. Ingat langsung aduk rata jangan sampai matang duluan karena panas yang di hantarkan. - Terakhir setelah bercampur rata dan aroma keluar matikan kompor dan masukkan 2 helai kecil daun basil lalu aduk kembali. Tempatkan di piring lalu taburi keju parut / parmesan. Semoga bermanfaat dan disukai. - ;1;/id/resep/4471643-carbonara-linguine-smooked-beef
semur jantung sapi;1/5 kg jantung sapi - ▪️bumbu halus ▪️ - 5 siung bawang putih - 4 siung bawang merah - 1 sdt ketumbar - 1 sdt lada putih - 4 butir cengkeh / 1/4 sdt cengkeh - secukupnya Garam - secukupnya Pala - 1/4 sdt jinten - 1/4 sdt jahe bubuk atau 1 cm jahe biasa - 2 buah kemiri - ▪️bumbu tambahan ▪️ - 1 sdm kecap inggris atau sesuai selera - 1 sdt saori teriyaki - secukupnya Royco - 1 buah gula merah - Kecap secukupnya atau sesuai selera - secukupnya Vetsin - secukupnya Gula putih - Air putih 500 ml atau di sesuaikan dengan banyaknya jantung yang akan di masak - Bawang bombay 1 buah (ukuran di kira-kira saja) - Delmonte barbeque sauce 3 atau 4 sdm - (Opsional) 4 buah cabe hijau kecil - ;Potong-potong jantung sapi dan lumurkan delmonte barbeque sauce kemudian diamkan di dalam kulkas hingga menyerap - Ulek bumbu halus yang sudah di sebutkan di atas - Potong-potong bawang bombay - Kemudian, tumis bumbu halus hingga wangi dan bau kemiri tidak tercium - Masukan bawang bombay kedalam katel - Kemudian masukan jantung yang udah di diamkan teraebut dan aduk rata - Tambahkan air - Tambahkan saori saos teriyaki - Masukan gula merah - Tambahkan kecap manis - Tambahkan royco - Tambahkan vetsin - Tambahkan gula putih - Tambahkan kecap inggris - (Opsional) kalau kurang pedes, bisa di tambahin cabai hijau kecil di iris-iris - Tunggu hingga air aga saat, dan kemudian bisa di hidangkan - ;2;/id/resep/4469770-semur-jantung-sapi
daging sapi cincang taousi cah buncis;1 ons daging sapi (cincang) - 1/4 buncir atau kira2 - bumbu - bawang putih - taousi hitam - lada bubuk - garam - gula pasir - royco kaldu sapi atau ayam - minyak wijen - kecap asin - ;Cincang daging sapi di beri bumbu kecap asin minyak wijen gula tepung kanji secumput aduk rata diamkan dulu biar meresap - Potong panjng buncis.cincang bawang putih dan tousi - Tumis daging cincang yg sudah di bumbuin aduk sdh agk matang angkt siaihkn - Kasih minyak dikit di wajan tumis bawang dan tousi yg di cincang tumis sampi harum dan masukan buncis kasih sedikit garam dan gula aduk dan ksh sdikit air tutup biarkan matang - Lalu terakhir masukan daging cincang yg sdh di tumis tadi campur kdlm wajan buncis tumis bentr angkt - Tumia buncis daging sapi cincang siap di hidangkan..silakn mencoba - ;1;/id/resep/4469431-daging-sapi-cincang-taousi-cah-buncis
