Title;Ingredients;Steps;Loves;URL
lumpia udang kulit tahu ala fe';50 gram ayam potong kotak kecil - 200 gram udang besar potong kecil - 1 lembar daun bawang iris halus - 1/2 sendok teh garam halus/sesuai selera - 1/2 sendok teh gula - 1/4 sendok teh merica bubuk - 1 sendok teh kecap ikan - 1 sendok teh saus raja rasa - 1 sendok teh saus tiram - 1 sendok teh minyak wijen - 1 sendok makan tepung sagu - 1 sendok teh tepung terigu - 1 butir telur ambil bagian putihnya saja, kocok lepas - 2 lembar kembang tahu kering / kulit tahu direndam sebentar - ;Campur ayam & udang dengan semua bumbu & daun bawang, aduk rata. Sesudah rata masukkan tepung sagu, terigu & putih telur. Aduk rata. - Isikan ke lembaran kulit kembang tahu & lipat seperti melipat lumpia, sambil dipadatkan agar rapi & bentuk agak pipih jangan terlalu bulat. Olesi putih telur diujung lipatan agar merekat rapat. - Kukus sekitar 15 menit hingga matang. Angkat dinginkan. Siap digoreng dengan api kecil sebentar. Anakku suka digoreng agak lama dengan kuning telur kocok sisa adonan tadi. Nanti jadi ada kayak jala2 crispynya yang gurih & kering. Angkat & tiriskan jika sudah digoreng matang. - Sajikan dengan dipotong diagonal (potong 2 serong). Siap disantap dengan saus sambal botol yang biasanya saya rebus dengan bawang goreng, cabe rawit iris, gula & sedikit air. Selamat mencoba. - ;4;/id/resep/4448366-lumpia-udang-kulit-tahu-ala-fe
bakso ayam udang keto;400 gr ayam giling - 250 gr udang kupas - 3 telur ayam utuh kocok - 30 ml minyak goreng - 1/2 sdt baking powder - secukupnya garam, lada - 2 sdm bawang goreng haluskan - secukupnya Bawang merah & putih - 1/2 sdt minyak wijen - Karageenan secukupnya (pengenyal) - Es batu 8 keping kotak - ;Campur semua bahan dalam food processor, kecuali daun bawang dan minyak goreng. - Tuang dalam baskom lalu taburi daun bawang dan minyak goreng, uleni rata (gunakan sarung tangan). Lalu simpan 2 jam dlm kulkas. - Panaskan minyak di wajan dgn api sedang. Bulatkan adonan dengan menggunakan dua sendok. Lalu goreng sampai matang. Adonan akan mengembang saat di wajan, tapi kembali kempes stelah diangkat. - ;2;/id/resep/4474544-bakso-ayam-udang-keto
udang ala pop corn;1/4 kg udang basah ukuran sedang - 1 bungkus kobe tepung ayam super crispy - secukupnya Air matang - Minyak untuk menggoreng - ;Buang kepala dan cangkang udang. - Cuci bersih udang. - Tepung bumbu dibagi jadi 2 adonan. Adonan basah dan adonan kering. - Masukkan udang ke dalam adonan tepung bumbu kering, gulirkan ke dlm tepung sambil ditekan2. Lalu masukkan ke dalam Tepung bumbu adonan basah gulirkan lagi sambil di tekan2, lalu masukkan lagi di adonan tepung bumbu kering Sambil ditekan2 agar tepung menempel sempurna. - Panaskan minyak goreng. Lalu goreng udang sampai kuning keemasan. - Angkat dan tiriskan. - Sajikan selagi hangat 😊 - ;2;/id/resep/4418156-udang-ala-pop-corn
bakwan udang sederhana;1/2 kg Tepung terigu (sudah di ayak) - 1/2 Udang segar - 1 btr Telur - 4 siung bawang putih - 1 sdm garam - 1/2 sdm picin - 1/2 bks penyedap rasa - 1/2 sdm Merica bubuk - 1/2 Ltr Air putih es - Minyak Makan - Daun Bawang (cincang) - Wortel (potong potong kecil) - ;Haluskan bawang putih, garam, picin dan merica bubuk - Masukan bumbu yang dihalus kan ke dalam udang, masukkan tepung terigu dan air secukup nya (jangan terlalu kental) - Pecahkan telur kedalam adonan, masukan potongan wortel dan daun bawang aduk hingga merata - Panas kan minyak goreng, masuk kan adonan sedikit demi sedikit - Setelah matang tiris kan, nikmati dengan saus tomat. Yummy - ;0;/id/resep/4475500-bakwan-udang-sederhana
udang goreng tepung mayonaise;300 gr udang (buang kepalanya) - Jeruk nipis - Tepung bumbu Kobe - Sedikit garam - Bahan saos: - Mayonaise 2 sachet @30 ml (saya pakai mayumi) - 1-2 sdm saos sambal/tomat - 1 sdm susu kental manis - ;Cuci bersih udang, tambahkan jeruk nipis supaya tidak amis dan sedikit garam (agar rasa udang sedikit gurih). Sisihkan. - Tuang tepung bumbu secukupnya dalam wadah beri sedikit air hingga tekstur kental. Dalam wadah lain tuang tepung bumbu yang kering (saya campur dengan 2 sdm tepung beras agar gorengan lebih kriuk). - Masukkan udang kedalam adonan cair tepung kemudian pindahkan ke dalam tepung kering. Tepuk2 ringan supaya tepung menempel. Lalu goreng dalam wajan berisi minyak panas sampai kecoklatan. - Saos Mayonaise  - > campur semua bahan saos aduk rata. Koreksi rasa. - Sajikan udang goreng tepung dengan saos mayonaise (bisa dicocol atau disiram diatas udang). - Selamat menikmati ☺ - ;6;/id/resep/4474156-udang-goreng-tepung-mayonaise
udang saus asam manis;1 Kg Udang mutiara - 7 siung bawang merah - 4 siung bawang putih - 4 buah cabai merah - 3 ruas jahe - 3 ruas lengkuas - 5 sdm saus cabai - 10 sdm saus tomat - 2 sdm saus tiram - 5 sdm minyak sayur - 1 sdt lada bubuk - 1 1/2 sdt Garam (secukupnya) - 100 ml air - ;Iris bawang merah, bawang putih, jahe, lengkuas, dan cabai merah - Masukan minyak dan bahan yang telah diiris, tumis hingga harum - Masukkan saus tiram, saus cabai dan saus tomat. - Masukan udang. Tambahkan garam dan lada bubuk. - Masukan air matang, aduk rata. Tunggu hingga matang. - Sajikan. - ;0;/id/resep/4443123-udang-saus-asam-manis
tekwan kuah udang;Untuk Tekwan : - 1/4 ekor ikan tenggiri 🌸 - 2 butir putih telur 🌸 - 1 sdm kaldu bubuk 🌸 - 2 sdt garam 🌸 - 1 sdt gula (aku pakai brown sugar) 🌸 - 1 sdt lada 🌸 - 100 ml air dingin 🌸 - 20 ml minyak sayur 🌸 - 200 g tepung kanji 🌸 - 1 liter Air untuk merebus - 2 sdm minyak sayur untuk rebusan - Untuk Kuah Tekwan : - 1/2 kg Udang - 10 butir bawang putih - 10 buah Jamur kuping - Bahan Tambahan : - Bihun \ soun - Daun bawang - Sambal cair - ;Untuk membuat tekwan, rebus air dengan 2sdm minyak sayur tunggu hingga mendidih. Campur semua bahan 🌸 aduk rata. Bulat- bulatkan adonan lalu celupkan ke dalam air mendidih, tunggu hingga mengapung. Sisihkan. - Untuk Kuah tekwan, kupas udang pisahkan kulit dan kepala nya. Rebus kulit udang sebentar saja hingga mendidih. - Blender kepala udang dalam keadaan mentah, sisihkan. - Rebusan kulit udang tadi, buang kulitnya. Lalu, masukan blenderan kepala udang, udang potong dan tumisan bawang putih. Masak hingga 10 menit. - Tata dalam mangkuk. Bihun matang, tekwan, jamur. Lalu guyur kuah tekwan. - ;5;/id/resep/4464484-tekwan-kuah-udang
sambal udang goreng;1/4 kg udang - 2 buah jeruk nipis - Minyak goreng - Garam - Gula pasir - Penyedap rasa - Daun jeruk - Bumbu dihaluskan: - 6 siung bawang merah - 4 siung bawang putih - 1 buah tomat - 8 cabe merah (sesuai selera) - 5 cabe rawit (sesuai selera) - ;Cuci udang bersih, lumuri dengan jeruk nipis - Panaskan minyak, goreng udang sebentar - Haluskan bumbu (saya lebih suka di uleg) - Panaskan minyak sedikit, tumis bumbu halus & daun jeruk. Tumis hingga harum. - Masukkan udang. Beri garam, penyedap rasa & 1 sdt gula pasir. Koreksi rasa nya. Tumis sampai bumbu meresap ke udang. - Angkat & sajikan. - ;7;/id/resep/4474006-sambal-udang-goreng
udang asam manis oregano;1/2 kg udang vaname - 1 bh bawang bombai - 2 siung bawang putih - 1 sdm oregano kering - 4-6 sdm saos tomat - 1 sdm saos sambal - 1 sdm gula - sedikit garam - sedikit air - minyak untuk menumis - ;Bersihkan udang dan cuci dengan air garam, iris bawang bombai dan bawang putih - Siapkan wajan yang sudah diberi sedikit minyak lalu tumis bawang sampai harum dan masukkan oregano kering, beri sedikit air baru masukkan udang tunggu sampai udang berubah warna, baru masukkan saosnya beri garam dan gula, - Tambahkan air sedikit lagi tunggu sampai mateng dan cicipin hemmmm,,, - Nb. kalau menurut saya bund jangan pakai saos tomat mereknya delmonte karena kalau merek yg lain baunya g enak ada yg bau busuk ada juga yg bau kunyit,,,, hemmm, tp ini menurut saya ya,,, - ;3;/id/resep/4473599-udang-asam-manis-oregano
tumis buncis pakai udang;1/4 kg Buncis (iris serong) - 4 bh bawang putih (geprek cincang) - Cabai merah keriting (sesuai selera) - 10 bh udang (kupas) - 1/2 sdt Kaldu jamur /royco - Sejumput gula pasir - secukupnya Garam - 1 sdt kecap ikan - secukupnya Lada - 150 ml air - ;Tumis bawang putih sampai harum, masukan udang, kecap ikan, tumis sampai kemerahan - Masukan buncisnya aduk, masukan kaldu jamur, lada, gula pasir, garam, aduk2, beri air... - Tumis sampai mendidih dan air menyusut... Cicipi rasa.... Jika buncis sudah empuk dan matang, siap disajikan. 👍 - ;5;/id/resep/4473387-tumis-buncis-pakai-udang
